line,question,question_type
1,What is central tendency?,statistics
2,Tell me about central tendency?,statistics
3,What do you know about central tendency?,statistics
4,Do you know about central tendency?,statistics
5,What is the process of central tendency?,statistics
6,How central tendency works ?,statistics
7,Let me know about central tendency?,statistics
8,What do you say about central tendency?,statistics
9,What does central tendency mean?,statistics
10,Explain central tendency?,statistics
11,Define central tendency?,statistics
12,Can you explain about central tendency?,statistics
13,Can you say something about central tendency?,statistics
14,Can you explain briefly about central tendency?,statistics
15,Can you give a short summary about central tendency?,statistics
16,What are the measures of central tendency?,statistics
17,Tell me about measures of central tendency?,statistics
18,What do you know about measures of central tendency?,statistics
19,Do you know about measures of central tendency?,statistics
20,Let me know about measures of central tendency?,statistics
21,What are measures of central tendency?,statistics
22,What do you say about measures of central tendency?,statistics
23,What does measures of central tendency mean?,statistics
24,Explain measures of central tendency?,statistics
25,Can you explain about measures of central tendency?,statistics
26,Can you say something about measures of central tendency?,statistics
27,Can you explain briefly about measures of central tendency?,statistics
28,Can you give a short summary about measures of central tendency?,statistics
29,What is mean?,statistics
30,Tell me about mean?,statistics
31,What do you know about mean?,statistics
32,Do you know about mean?,statistics
33,What is the process of mean?,statistics
34,How mean works ?,statistics
35,Let me know about mean?,statistics
36,What do you say about mean?,statistics
37,Explain mean?,statistics
38,Define mean?,statistics
39,Can you explain about mean?,statistics
40,Can you say something about mean?,statistics
41,Can you explain briefly about mean?,statistics
42,Can you give a short summary about mean?,statistics
43,What is median?,statistics
44,Tell me about median?,statistics
45,What do you know about median?,statistics
46,Do you know about median?,statistics
47,What is the process of median?,statistics
48,How median works ?,statistics
49,Let me know about median?,statistics
50,What do you say about median?,statistics
51,What does median mean?,statistics
52,Explain median?,statistics
53,Define median?,statistics
54,Can you explain about median?,statistics
55,Can you say something about median?,statistics
56,Can you explain briefly about median?,statistics
57,Can you give a short summary about median?,statistics
58,What is mode?,statistics
59,Tell me about mode?,statistics
60,What do you know about mode?,statistics
61,Do you know about mode?,statistics
62,What is the process of mode?,statistics
63,How mode works ?,statistics
64,Let me know about mode?,statistics
65,What do you say about mode?,statistics
66,What does mode mean?,statistics
67,Explain mode?,statistics
68,Define mode?,statistics
69,Can you explain about mode?,statistics
70,Can you say something about mode?,statistics
71,Can you explain briefly about mode?,statistics
72,Can you give a short summary about mode?,statistics
73,What is population?,statistics
74,Tell me about population?,statistics
75,What do you know about population?,statistics
76,Do you know about population?,statistics
77,What is the process of population?,statistics
78,How population works ?,statistics
79,Let me know about population?,statistics
80,What do you say about population?,statistics
81,What does population mean?,statistics
82,Explain population?,statistics
83,Define population?,statistics
84,Can you explain about population?,statistics
85,Can you say something about population?,statistics
86,Can you explain briefly about population?,statistics
87,Can you give a short summary about population?,statistics
88,What is sampling?,statistics
89,Tell me about sampling?,statistics
90,What do you know about sampling?,statistics
91,Do you know about sampling?,statistics
92,What is the process of sampling?,statistics
93,How sampling works ?,statistics
94,Let me know about sampling?,statistics
95,What do you say about sampling?,statistics
96,Explain sampling?,statistics
97,Define sampling?,statistics
98,Can you explain about sampling?,statistics
99,Can you say something about sampling?,statistics
100,Can you explain briefly about sampling?,statistics
101,Can you give a short summary about sampling?,statistics
102,What is standard deviation?,statistics
103,Tell me about standard deviation?,statistics
104,What do you know about standard deviation?,statistics
105,Do you know about standard deviation?,statistics
106,What is the process of standard deviation?,statistics
107,How standard deviation works ?,statistics
108,Let me know about standard deviation?,statistics
109,What do you say about standard deviation?,statistics
110,What does standard deviation mean?,statistics
111,Explain standard deviation?,statistics
112,Define standard deviation?,statistics
113,Can you explain about standard deviation?,statistics
114,Can you say something about standard deviation?,statistics
115,Can you explain briefly about standard deviation?,statistics
116,Can you give a short summary about standard deviation?,statistics
117,What is variance?,statistics
118,Tell me about variance?,statistics
119,What do you know about variance?,statistics
120,Do you know about variance?,statistics
121,What is the process of variance?,statistics
122,How variance works ?,statistics
123,Let me know about variance?,statistics
124,What do you say about variance?,statistics
125,What does variance mean?,statistics
126,Explain variance?,statistics
127,Define variance?,statistics
128,Can you explain about variance?,statistics
129,Can you say something about variance?,statistics
130,Can you explain briefly about variance?,statistics
131,Can you give a short summary about variance?,statistics
132,What is range?,statistics
133,Tell me about range?,statistics
134,What do you know about range?,statistics
135,Do you know about range?,statistics
136,What is the process of range?,statistics
137,How range works ?,statistics
138,Let me know about range?,statistics
139,What do you say about range?,statistics
140,What does range mean?,statistics
141,Explain range?,statistics
142,Define range?,statistics
143,Can you explain about range?,statistics
144,Can you say something about range?,statistics
145,Can you explain briefly about range?,statistics
146,Can you give a short summary about range?,statistics
147,What is expected value?,statistics
148,Tell me about expected value?,statistics
149,What do you know about expected value?,statistics
150,Do you know about expected value?,statistics
151,What is the process of expected value?,statistics
152,How expected value works ?,statistics
153,Let me know about expected value?,statistics
154,What do you say about expected value?,statistics
155,What does expected value mean?,statistics
156,Explain expected value?,statistics
157,Define expected value?,statistics
158,Can you explain about expected value?,statistics
159,Can you say something about expected value?,statistics
160,Can you explain briefly about expected value?,statistics
161,Can you give a short summary about expected value?,statistics
162,What is kurtosis?,statistics
163,Tell me about kurtosis?,statistics
164,What do you know about kurtosis?,statistics
165,Do you know about kurtosis?,statistics
166,What is the process of kurtosis?,statistics
167,How kurtosis works ?,statistics
168,Let me know about kurtosis?,statistics
169,What do you say about kurtosis?,statistics
170,What does kurtosis mean?,statistics
171,Explain kurtosis?,statistics
172,Define kurtosis?,statistics
173,Can you explain about kurtosis?,statistics
174,Can you say something about kurtosis?,statistics
175,Can you explain briefly about kurtosis?,statistics
176,Can you give a short summary about kurtosis?,statistics
177,What is skewness?,statistics
178,Tell me about skewness?,statistics
179,What do you know about skewness?,statistics
180,Do you know about skewness?,statistics
181,What is the process of skewness?,statistics
182,How skewness works ?,statistics
183,Let me know about skewness?,statistics
184,What do you say about skewness?,statistics
185,What does skewness mean?,statistics
186,Explain skewness?,statistics
187,Define skewness?,statistics
188,Can you explain about skewness?,statistics
189,Can you say something about skewness?,statistics
190,Can you explain briefly about skewness?,statistics
191,Can you give a short summary about skewness?,statistics
192,What is box plot?,statistics
193,Tell me about box plot?,statistics
194,What do you know about box plot?,statistics
195,Do you know about box plot?,statistics
196,What is the process of box plot?,statistics
197,How boxp lot works ?,statistics
198,Let me know about box plot?,statistics
199,What do you say about box plot?,statistics
200,What does box plot mean?,statistics
201,Explain box plot?,statistics
202,Define box plot?,statistics
203,Can you explain about box plot?,statistics
204,Can you say something about box plot?,statistics
205,Can you explain briefly about box plot?,statistics
206,Can you give a short summary about box plot?What is big data?,statistics
207,Tell me about big data?,statistics
208,What do you know about big data?,statistics
209,Do you know about big data?,statistics
210,What is the process of big data?,statistics
211,How big data works ?,statistics
212,Let me know about big data?,statistics
213,What do you say about big data?,statistics
214,What does big data mean?,statistics
215,Explain big data?,statistics
216,Define big data?What is inter quartile range?,statistics
217,Tell me about inter quartile range?,statistics
218,What do you know about inter quartile range?,statistics
219,Do you know about inter quartile range?,statistics
220,What is the process of inter quartile range?,statistics
221,How inter quartile range works ?,statistics
222,Let me know about inter quartile range?,statistics
223,What do you say about inter quartile range?,statistics
224,What does inter quartile range mean?,statistics
225,Explain inter quartile range?,statistics
226,Define inter quartile range?,statistics
227,Can you explain about inter quartile range?,statistics
228,Can you say something about inter quartile range?,statistics
229,Can you explain briefly about inter quartile range?,statistics
230,Can you give a short summary about inter quartile range?,statistics
231,What is outlier?,statistics
232,Tell me about outlier?,statistics
233,What do you know about outlier?,statistics
234,Do you know about outlier?,statistics
235,What is the process of outlier?,statistics
236,How outlier works ?,statistics
237,Let me know about outlier?,statistics
238,What do you say about outlier?,statistics
239,What does outlier mean?,statistics
240,Explain outlier?,statistics
241,Define outlier?,statistics
242,Can you explain about outlier?,statistics
243,Can you say something about outlier?,statistics
244,Can you explain briefly about outlier?,statistics
245,Can you give a short summary about outlier?,statistics
246,What is probability?,statistics
247,Tell me about probability?,statistics
248,What do you know about probability?,statistics
249,Do you know about probability?,statistics
250,What is the process of probability?,statistics
251,How probability works ?,statistics
252,Let me know about probability?,statistics
253,What do you say about probability?,statistics
254,What does probability mean?,statistics
255,Explain probability?,statistics
256,Define probability?,statistics
257,Can you explain about probability?,statistics
258,Can you say something about probability?,statistics
259,Can you explain briefly about probability?,statistics
260,Can you give a short summary about probability?,statistics
261,What is probability distribution?,statistics
262,Tell me about probability distribution?,statistics
263,What do you know about probability distribution?,statistics
264,Do you know about probability distribution?,statistics
265,What is the process of probability distribution?,statistics
266,How probability distribution works ?,statistics
267,Let me know about probability distribution?,statistics
268,What do you say about probability distribution?,statistics
269,What does probability distribution mean?,statistics
270,Explain probability distribution?,statistics
271,Define probability distribution?,statistics
272,Can you explain about probability distribution?,statistics
273,Can you say something about probability distribution?,statistics
274,Can you explain briefly about probability distribution?,statistics
275,Can you give a short summary about probability distribution?,statistics
276,What is normal distribution?,statistics
277,Tell me about normal distribution?,statistics
278,What do you know about normal distribution?,statistics
279,Do you know about normal distribution?,statistics
280,What is the process of normal distribution?,statistics
281,How normal distribution works ?,statistics
282,Let me know about normal distribution?,statistics
283,What do you say about normal distribution?,statistics
284,What does normal distribution mean?,statistics
285,Explain normal distribution?,statistics
286,Define normal distribution?,statistics
287,Can you explain about normal distribution?,statistics
288,Can you say something about normal distribution?,statistics
289,Can you explain briefly about normal distribution?,statistics
290,Can you give a short summary about normal distribution?,statistics
291,What is unimodal?,statistics
292,Tell me about unimodal?,statistics
293,What do you know about unimodal?,statistics
294,Do you know about unimodal?,statistics
295,What is the process of unimodal?,statistics
296,How unimodal works ?,statistics
297,Let me know about unimodal?,statistics
298,What do you say about unimodal?,statistics
299,What does unimodal mean?,statistics
300,Explain unimodal?,statistics
301,Define unimodal?,statistics
302,Can you explain about unimodal?,statistics
303,Can you say something about unimodal?,statistics
304,Can you explain briefly about unimodal?,statistics
305,Can you give a short summary about unimodal?,statistics
306,What is bimodal?,statistics
307,Tell me about bimodal?,statistics
308,What do you know about bimodal?,statistics
309,Do you know about bimodal?,statistics
310,What is the process of bimodal?,statistics
311,How bimodal works ?,statistics
312,Let me know about bimodal?,statistics
313,What do you say about bimodal?,statistics
314,What does bimodal mean?,statistics
315,Explain bimodal?,statistics
316,Define bimodal?,statistics
317,Can you explain about bimodal?,statistics
318,Can you say something about bimodal?,statistics
319,Can you explain briefly about bimodal?,statistics
320,Can you give a short summary about bimodal?,statistics
321,What is multimodal?,statistics
322,Tell me about multimodal?,statistics
323,What do you know about multimodal?,statistics
324,Do you know about multimodal?,statistics
325,What is the process of multimodal?,statistics
326,How multimodal works ?,statistics
327,Let me know about multimodal?,statistics
328,What do you say about multimodal?,statistics
329,What does multimodal mean?,statistics
330,Explain multimodal?,statistics
331,Define multimodal?,statistics
332,Can you explain about multimodal?,statistics
333,Can you say something about multimodal?,statistics
334,Can you explain briefly about multimodal?,statistics
335,Can you give a short summary about multimodal?,statistics
336,What is six sigma?,statistics
337,Tell me about six sigma?,statistics
338,What do you know about six sigma?,statistics
339,Do you know about six sigma?,statistics
340,What is the process of six sigma?,statistics
341,How six sigma works ?,statistics
342,Let me know about six sigma?,statistics
343,What do you say about six sigma?,statistics
344,What does six sigma mean?,statistics
345,Explain six sigma?,statistics
346,Define six sigma?,statistics
347,Can you explain about six sigma?,statistics
348,Can you say something about six sigma?,statistics
349,Can you explain briefly about six sigma?,statistics
350,Can you give a short summary about six sigma?,statistics
351,What is dpmo?,statistics
352,Tell me about dpmo?,statistics
353,What do you know about dpmo?,statistics
354,Do you know about dpmo?,statistics
355,What is the process of dpmo?,statistics
356,How dpmo works ?,statistics
357,Let me know about dpmo?,statistics
358,What do you say about dpmo?,statistics
359,What does dpmo mean?,statistics
360,Explain dpmo?,statistics
361,Define dpmo?,statistics
362,Can you explain about dpmo?,statistics
363,Can you say something about dpmo?,statistics
364,Can you explain briefly about dpmo?,statistics
365,Can you give a short summary about dpmo?,statistics
366,What is standardization?,statistics
367,Tell me about standardization?,statistics
368,What do you know about standardization?,statistics
369,Do you know about standardization?,statistics
370,What is the process of standardization?,statistics
371,How standardization works ?,statistics
372,Let me know about standardization?,statistics
373,What do you say about standardization?,statistics
374,What does standardization mean?,statistics
375,Explain standardization?,statistics
376,Define standardization?,statistics
377,Can you explain about standardization?,statistics
378,Can you say something about standardization?,statistics
379,Can you explain briefly about standardization?,statistics
380,Can you give a short summary about standardization?,statistics
381,What is z table?,statistics
382,Tell me about z table?,statistics
383,What do you know about z table?,statistics
384,Do you know about z table?,statistics
385,What is the process of z table?,statistics
386,How z table works ?,statistics
387,Let me know about z table?,statistics
388,What do you say about z table?,statistics
389,What does z table mean?,statistics
390,Explain z table?,statistics
391,Define z table?,statistics
392,Can you explain about z table?,statistics
393,Can you say something about z table?,statistics
394,Can you explain briefly about z table?,statistics
395,Can you give a short summary about z table?,statistics
396,What is standard normal probabilities?,statistics
397,Tell me about standard normal probabilities?,statistics
398,What do you know about standard normal probabilities?,statistics
399,Do you know about standard normal probabilities?,statistics
400,What is the process of standard normal probabilities?,statistics
401,How standard normal probabilities works ?,statistics
402,Let me know about standard normal probabilities?,statistics
403,What do you say about standard normal probabilities?,statistics
404,What does standard normal probabilities mean?,statistics
405,Explain standard normal probabilities?,statistics
406,Define standard normal probabilities?,statistics
407,Can you explain about standard normal probabilities?,statistics
408,Can you say something about standard normal probabilities?,statistics
409,Can you explain briefly about standard normal probabilities?,statistics
410,Can you give a short summary about standard normal probabilities?,statistics
411,What is percentile?,statistics
412,Tell me about percentile?,statistics
413,What do you know about percentile?,statistics
414,Do you know about percentile?,statistics
415,What is the process of percentile?,statistics
416,How percentile works ?,statistics
417,Let me know about percentile?,statistics
418,What do you say about percentile?,statistics
419,What does percentile mean?,statistics
420,Explain percentile?,statistics
421,Define percentile?,statistics
422,Can you explain about percentile?,statistics
423,Can you say something about percentile?,statistics
424,Can you explain briefly about percentile?,statistics
425,Can you give a short summary about percentile?,statistics
426,What is quartile?,statistics
427,Tell me about quartile?,statistics
428,What do you know about quartile?,statistics
429,Do you know about quartile?,statistics
430,What is the process of quartile?,statistics
431,How quartile works ?,statistics
432,Let me know about quartile?,statistics
433,What do you say about quartile?,statistics
434,What does quartile mean?,statistics
435,Explain quartile?,statistics
436,Define quartile?,statistics
437,Can you explain about quartile?,statistics
438,Can you say something about quartile?,statistics
439,Can you explain briefly about quartile?,statistics
440,Can you give a short summary about quartile?,statistics
441,What is q-q plot?,statistics
442,Tell me about q-q plot?,statistics
443,What do you know about q-q plot?,statistics
444,Do you know about q-q plot?,statistics
445,What is the process of q-q plot?,statistics
446,How q-q plot works ?,statistics
447,Let me know about q-q plot?,statistics
448,What is q-q plot?,statistics
449,What do you say about q-q plot?,statistics
450,What does q-q plot mean?,statistics
451,Explain q-q plot?,statistics
452,Define q-q plot?,statistics
453,Can you explain about q-q plot?,statistics
454,Can you say something about q-q plot?,statistics
455,Can you explain briefly about q-q plot?,statistics
456,Can you give a short summary about q-q plot?,statistics
457,What is histogram?,statistics
458,Tell me about histogram?,statistics
459,What do you know about histogram?,statistics
460,Do you know about histogram?,statistics
461,What is the process of histogram?,statistics
462,How histogram works ?,statistics
463,Let me know about histogram?,statistics
464,What do you say about histogram?,statistics
465,What does histogram mean?,statistics
466,Explain histogram?,statistics
467,Define histogram?,statistics
468,Can you explain about histogram?,statistics
469,Can you say something about histogram?,statistics
470,Can you explain briefly about histogram?,statistics
471,Can you give a short summary about histogram?,statistics
472,What is sample variation?,statistics
473,Tell me about sample variation?,statistics
474,What do you know about sample variation?,statistics
475,What is the process of sample variation?,statistics
476,How sample variation works ?,statistics
477,Let me know about sample variation?,statistics
478,What do you say about sample variation?,statistics
479,What does sample variation mean?,statistics
480,Explain sample variation?,statistics
481,Define sample variation?,statistics
482,Can you say something about sample variation?,statistics
483,Can you explain briefly about sample variation?,statistics
484,Can you give a short summary about sample variation?,statistics
485,What is sample mean?,statistics
486,Tell me about sample mean?,statistics
487,What do you know about sample mean?,statistics
488,Do you know about sample mean?,statistics
489,What is the process of sample mean?,statistics
490,How sample mean works ?,statistics
491,Let me know about sample mean?,statistics
492,What does sample mean mean?,statistics
493,Explain sample mean?,statistics
494,Define sample mean?,statistics
495,Can you explain about sample mean?,statistics
496,Can you say something about sample mean?,statistics
497,Can you explain briefly about sample mean?What is central limit theorem?,statistics
498,Tell me about central limit theorem?,statistics
499,What do you know about central limit theorem?,statistics
500,Do you know about central limit theorem?,statistics
501,What is the process of central limit theorem?,statistics
502,How central limit theorem works ?,statistics
503,Let me know about central limit theorem?,statistics
504,What do you say about central limit theorem?,statistics
505,What does central limit theorem mean?,statistics
506,Explain central limit theorem?,statistics
507,Define central limit theorem?,statistics
508,Can you explain about central limit theorem?,statistics
509,Can you say something about central limit theorem?,statistics
510,Can you explain briefly about central limit theorem?,statistics
511,Can you give a short summary about central limit theorem?,statistics
512,What is global environment window?,statistics
513,Tell me about global environment window?,statistics
514,What do you know about global environment window?,statistics
515,Do you know about global environment window?,statistics
516,What is the process of global environment window?,statistics
517,How global environment window works ?,statistics
518,Let me know about global environment window?,statistics
519,What do you say about global environment window?,statistics
520,What does global environment window mean?,statistics
521,Explain global environment window?,statistics
522,Define global environment window?,statistics
523,Can you explain about global environment window?,statistics
524,Can you say something about global environment window?,statistics
525,Can you explain briefly about global environment window?,statistics
526,Can you give a short summary about global environment window?,statistics
527,What is console ?,statistics
528,Tell me about console window?,statistics
529,What do you know about console ?,statistics
530,Do you know about console window?,statistics
531,What is the process of console ?,statistics
532,How console window works ?,statistics
533,Let me know about console ?,statistics
534,What do you say about console window?,statistics
535,What does console  mean?,statistics
536,Explain console window?,statistics
537,Define console window?,statistics
538,Can you explain about console ?,statistics
539,Can you say something about console ?,statistics
540,Can you explain briefly about console ?,statistics
541,Can you give a short summary about console window?,statistics
542,What is script ?,statistics
543,Tell me about script ?,statistics
544,How script window works ?,statistics
545,Let me know about script ?,statistics
546,What does source  mean?,statistics
547,Explain source window?,statistics
548,Define source ?,statistics
549,Can you explain about source window?,statistics
550,Can you say something about source ?,statistics
551,Can you explain briefly about source window?,statistics
552,Can you give a short summary about source window?What is local maxima?,statistics
553,Tell me about local maxima?,statistics
554,What do you know about local maxima?,statistics
555,Do you know about local maxima?,statistics
556,What is the process of local maxima?,statistics
557,How local maxima works ?,statistics
558,Let me know about local maxima?,statistics
559,What do you say about local maxima?,statistics
560,What does local maxima mean?,statistics
561,Explain local maxima?,statistics
562,Define local maxima?,statistics
563,Can you explain about local maxima?,statistics
564,Can you say something about local maxima?,statistics
565,Can you explain briefly about local maxima?,statistics
566,Can you give a short summary about local maxima?,statistics
567,What is upper quartile?,statistics
568,Tell me about upper quartile?,statistics
569,What do you know about upper quartile?,statistics
570,Do you know about upper quartile?,statistics
571,What is the process of upper quartile?,statistics
572,How upper quartile works ?,statistics
573,Let me know about upper quartile?,statistics
574,What do you say about upper quartile?,statistics
575,What does upper quartile mean?,statistics
576,Explain upper quartile?,statistics
577,Define upper quartile?,statistics
578,Can you explain about upper quartile?,statistics
579,Can you say something about upper quartile?,statistics
580,Can you explain briefly about upper quartile?,statistics
581,Can you give a short summary about upper quartile?,statistics
582,What is lower quartile?,statistics
583,Tell me about lower quartile?,statistics
584,What do you know about lower quartile?,statistics
585,Do you know about lower quartile?,statistics
586,What is the process of lower quartile?,statistics
587,How lower quartile works ?,statistics
588,Let me know about lower quartile?,statistics
589,What do you say about lower quartile?,statistics
590,What does lower quartile mean?,statistics
591,Explain lower quartile?,statistics
592,Define lower quartile?,statistics
593,Can you explain about lower quartile?,statistics
594,Can you say something about lower quartile?,statistics
595,Can you explain briefly about lower quartile?,statistics
596,Can you give a short summary about lower quartile?,statistics
597,What is random variable?,statistics
598,Tell me about random variable?,statistics
599,What do you know about random variable?,statistics
600,Do you know about random variable?,statistics
601,What is the process of random variable?,statistics
602,How random variable works ?,statistics
603,Let me know about random variable?,statistics
